"builder_id","person_team_or_project","public_identity","current_affiliation","project","project_url","primary_technical_area","builder_pool","source_channel","latest_meaningful_signal","technical_artifact","technical_evidence","formation_evidence","commercialization_evidence","array_relevance","why_non_obvious","biggest_technical_question","biggest_formation_question","evidence_quality","source_urls"
"DZ-001","Cong Wang / Multikernel Technologies","github.com/congwang-mk (Cong Wang)","OBSERVED: Founder & CEO, Multikernel Technologies, Inc. (self-published GitHub bio + org). Prior roles reported by third-party press: Red Hat, Twitter, ByteDance; Linux kernel traffic-control maintainer since 2017","multikernel / kernelscript","https://github.com/multikernel/kernelscript","OS kernels, eBPF, cloud runtime","B","GitHub org + LKML + company site","OBSERVED 2026-06-26: last push to kernelscript; multikernel Linux patches submitted to LKML Sept 2025","kernelscript: type-safe DSL for eBPF-centric kernel customization, written in OCaml, 502 stars, 524 owner commits, Apache-2.0","D-01 systems (kernel/eBPF) OBSERVED; D-06 compiler/DSL OBSERVED; TQ-3 high OBSERVED; TQ-1 L4 INFERRED","F-01 multikernel.io OBSERVED; F-02 org created 2025-03-08 OBSERVED; F-03 bio 'Founder and CEO at @multikernel' OBSERVED; F-06 'Inc.' in org name OBSERVED. Personal GitHub account created 2025-08-21","UNKNOWN — no pricing page or named customer found","Adjacent to Theme 4 (Edge Intelligence / efficiency) and to the agent-isolation problem; a per-application kernel is an isolation primitive","72 GitHub followers, 2 public personal repos, brand-new personal account. Invisible to any follower- or star-ranked system despite a 17-year kernel record","Does per-application kernel isolation beat microVM snapshot-restore on spawn latency and memory amplification, or only on steady-state?","Is Multikernel raising, and is the commercial wedge cloud infrastructure or agent isolation?","HIGH","https://github.com/multikernel/kernelscript | https://github.com/congwang-mk | https://multikernel.io/about.html | https://linuxiac.com/linux-kernel-multikernel-project-opens-up/"
"DZ-002","DeepLethe / forkd","github.com/WaylandYang (org: deeplethe)","OBSERVED: GitHub company field 'DeepLethe @deeplethe @CIBRalgosw'; location Singapore/China","forkd","https://github.com/deeplethe/forkd","microVM, KVM, agent sandboxing","U","GitHub","OBSERVED 2026-08-22: active pushes","Rust; KVM-isolated microVM with snapshot copy-on-write; 2,749 stars; 278 top-contributor commits; Apache-2.0; created 2026-05-11","D-01/D-03 OBSERVED (KVM, CoW); TQ-6 specific claim OBSERVED ('100 children in ~100ms', 'BRANCH a live VM in ~150ms'); TQ-1 L3-L4 INFERRED — untested","F-02 org deeplethe created 2026-05-08 OBSERVED. No domain, no founder statement, no incorporation evidence — ONE channel only, therefore NOT classified FORMING","UNKNOWN","Agent execution isolation; the sandboxing primitive Array's own AI coworker relies on","2,749 stars is small relative to memory/agent-framework repos; the work is in a language and layer most AI sourcing tools do not index","Do the ~100ms/~150ms numbers hold against Firecracker snapshot-restore for a non-trivial guest?","Is deeplethe a company or a research handle? No first-person founder statement found","MEDIUM","https://github.com/deeplethe/forkd | https://github.com/WaylandYang"
"DZ-003","BoxLite","github.com/DorianZheng (org: boxlite-ai)","OBSERVED: org describes itself as 'The AI agent infrastructure company'; owner location Singapore","boxlite","https://github.com/boxlite-ai/boxlite","microVM, agent runtime","U","GitHub","OBSERVED 2026-08-21: active","Rust micro-VM 'light enough to embed on your laptop'; 2,273 stars; 570 top-contributor commits; 34 pages of contributors; Apache-2.0; created 2025-12-07","D-01/D-03 systems depth OBSERVED; TQ-1 L3 INFERRED","F-01 boxlite.ai OBSERVED; F-02 org created 2025-11-17 OBSERVED; org self-describes as a company OBSERVED. Two channels — meets FORMING threshold","UNKNOWN","Agent execution isolation; directly the sandbox layer","Longer construction history than the louder microVM repos but a fraction of the attention","How does an embeddable micro-VM handle the memory-amplification problem at 100+ concurrent agents?","Who are the identified founders? Org membership is not public","MEDIUM","https://github.com/boxlite-ai/boxlite | https://boxlite.ai/"
"DZ-004","Hideaki Takahashi / h5i","github.com/Koukyosyumei (Hideaki Takahashi)","OBSERVED: self-published — PhD student, Columbia University; Security, Crypto, AI/ML; Tokyo → New York","h5i","https://github.com/h5i-dev/h5i","Agent sandboxing, multi-agent isolation","A","GitHub","OBSERVED 2026-08-23: active pushes","Rust; per-agent disposable sandbox over a Git-backed message forum; 538 stars; 363 top-contributor commits; Apache-2.0; created 2026-03-11","D-01 OBSERVED; D-02 originality (Git repo as an agent message bus) INFERRED; TQ-8 architecture stated in README","F-01 h5i.dev OBSERVED; F-02 org h5i-dev created 2026-03-30 OBSERVED. Two channels","UNKNOWN","Agent isolation + auditability; Theme 2 (governance/control layer)","8 org followers, 123 personal followers; a security PhD shipping a systems artifact rather than a paper","Does Git-as-message-bus survive concurrent multi-agent writes, or does it serialize into a bottleneck?","Is this a research prototype or an intended company? No founder statement found","MEDIUM","https://github.com/h5i-dev/h5i | https://github.com/Koukyosyumei | https://koukyosyumei.github.io"
"DZ-005","Eugene / agent-safehouse","github.com/eugene1g (Eugene)","UNKNOWN — no affiliation published","agent-safehouse","https://github.com/eugene1g/agent-safehouse","Least-privilege filesystem sandboxing","U","GitHub","OBSERVED 2026-08-22: active","Shell; 'sandbox your local AI agents so they can read/write only what they need'; 2,030 stars; 190 owner commits + 5 external contributors; Apache-2.0; created 2026-02-09","D-01 OBSERVED (OS-level FS scoping); TQ-1 L2-L3 INFERRED — Shell implementation caps depth","F-01 agent-safehouse.dev OBSERVED. ONE channel. No org, no company, no founder statement — NOT FORMING","UNKNOWN","Agent isolation; the 'vibe coding security' category Array says it is actively seeking","Solo maintainer with a 2009 GitHub account and no public affiliation; not a fundable shape today, but a strong technical relationship","Can filesystem scoping alone contain an agent that has network access?","No formation evidence at all. Is this deliberately a tool, not a company?","MEDIUM","https://github.com/eugene1g/agent-safehouse | https://github.com/eugene1g"
"DZ-006","FootprintAI / Containarium","github.com/FootprintAI","UNKNOWN","Containarium","https://github.com/FootprintAI/Containarium","Agent runtime, eBPF egress policy","U","GitHub","OBSERVED 2026-08-23: active","Go; SSH-native isolation, eBPF egress policy, Kubernetes + LXC backends, GPU passthrough, MCP-native CLI; 273 stars; 987 top-contributor commits; Apache-2.0; created 2025-12-28","D-01 OBSERVED (eBPF + LXC + K8s); TQ-3 high OBSERVED","F-01 containarium.dev OBSERVED. Established org with prior repos — scope likely 'established_organization', requires registry check","UNKNOWN","Agent isolation + egress control; maps to the agent data-movement problem in Array's security post","273 stars against 987 commits — one of the worst attention-to-construction ratios in the sweep, in the good direction","Does eBPF egress policy meaningfully constrain an agent that can write files another process reads?","Is FootprintAI an existing company adding a product, or a new formation? Registry check required (NC-6 shape)","MEDIUM","https://github.com/FootprintAI/Containarium"
"DZ-007","OpenSandbox","github.com/opensandbox-group","UNKNOWN","OpenSandbox","https://github.com/opensandbox-group/OpenSandbox","Agent sandbox runtime","U","GitHub","OBSERVED 2026-08-22: active","Python; 14,587 stars; 1,082 top-contributor commits; 93 pages of contributors; Apache-2.0; created 2025-12-17","D-01 INFERRED — Python-level sandbox runtime; depth depends on the isolation backend, unverified","F-01 open-sandbox.ai OBSERVED; F-02 org created 2025-11-17 OBSERVED","UNKNOWN","Agent execution isolation","Large contributor base suggests a corporate open-source release rather than a founder team — flagged NC-6","What is the actual isolation boundary — namespaces, VM, or process-level?","Who owns this? No public org members, no named founder","LOW","https://github.com/opensandbox-group/OpenSandbox"
"DZ-008","Headroom Labs","github.com/chopratejas (Tejas Chopra, org: headroomlabs-ai)","OBSERVED: GitHub company field reads 'Netflix, Inc.', location Los Gatos — INFERRED as possibly stale given the org activity; NOT treated as a departure signal","headroom","https://github.com/headroomlabs-ai/headroom","Context/token compression","U","GitHub","OBSERVED 2026-08-22: active","Python; library + proxy + MCP server; 67,223 stars; 1,164 top-contributor commits; 246 pages of contributors; Apache-2.0; created 2026-01-07; docs site","TQ-6 specific falsifiable claim OBSERVED ('20% fewer tokens for coding agents, 60-95% fewer for JSON, same answers'); TQ-1 L1 vs L3 UNRESOLVED — this is EXP-1 in the reproduction lab","F-01 headroomlabs.ai + docs site OBSERVED; F-02 org 'Headroom Labs' created 2026-06-16 OBSERVED. Two channels","M-03 documentation site OBSERVED","Theme 3 (AI Economics Infrastructure: do more with less) — the most direct match in the universe","Attention is high, so this is NOT non-obvious. Included because it is the best reproduction target, not as a Weekly 3 candidate","Does the 60-95% JSON reduction survive a whitespace-minification baseline, and does 'same answers' hold on retrieval-style questions?","Is Headroom Labs incorporated, and is Tejas Chopra full-time on it? No first-person statement found — must not be inferred","MEDIUM","https://github.com/headroomlabs-ai/headroom | https://docs.headroomlabs.ai/docs | https://github.com/chopratejas"
"DZ-009","rtk-ai","github.com/aeppling + pszymkowiak + FlorianBruniaux (org: rtk-ai)","OBSERVED: lead contributor self-describes as a computer-science student in Lille, France; org located France","rtk","https://github.com/rtk-ai/rtk","Token-reduction CLI proxy","A","GitHub","OBSERVED 2026-08-22: active","Rust single binary, zero dependencies; 77,100 stars; 3+ identified contributors (530/215/175 commits); Apache-2.0; created 2026-01-22; 1,998 open issues","TQ-6 specific claim OBSERVED ('60-90% token reduction on common dev commands'); TQ-1 L2 INFERRED; V-04 issue load very high","F-01 rtk-ai.app OBSERVED; F-02 org created 2026-01-30 OBSERVED; org has 715 followers","UNKNOWN","Theme 3 (AI Economics Infrastructure)","Not non-obvious at 77k stars. Included as reproduction target EXP-2 and as a young-builder-team data point","Is the 60-90% reduction achieved by summarization (lossy) or structural transformation (lossless)? The distinction determines whether it is a product or a feature","A student team with an enormous user base and 1,998 open issues — is anyone full-time?","MEDIUM","https://github.com/rtk-ai/rtk | https://github.com/aeppling"
"DZ-010","Resham Joshi / CodeBurn","github.com/iamtoruk (Resham Joshi)","OBSERVED: self-published GitHub bio — 'Founder · CodeBurn, Eywa, AgentSeal'; Germany","codeburn","https://github.com/getagentseal/codeburn","Agent cost accounting","B","GitHub","OBSERVED 2026-08-22: active","TypeScript; tracks token usage and cost across 37 agent tools by model/project/task; 9,609 stars; 1,234 top-contributor commits; MIT; created 2026-04-13","D-08-adjacent measurement infrastructure OBSERVED; TQ-1 L2 INFERRED; TQ-7 npx distribution OBSERVED","F-01 codeburn.app + agentseal.org OBSERVED; F-02 org getagentseal created 2026-04-18 OBSERVED; F-03 explicit first-person founder statement in bio OBSERVED. THREE formation signals","M-03 docs OBSERVED; no pricing found","Theme 3 (AI Economics) — and cost-per-unit measurement is literally the Accepted Work Unit argument from Shruti's July 2026 post","Three named projects from one founder is a spray pattern that most sourcing systems would score down; it may instead indicate a founder converging on a category","Does per-task cost attribution across 37 heterogeneous tools produce comparable units, or incomparable ones?","Which of the three projects is the company? Is there a co-founder?","HIGH","https://github.com/getagentseal/codeburn | https://github.com/iamtoruk | https://codeburn.app/"
