"source_id","source_name","url","publisher","source_type","quality_tier","publication_date","accessed_at","builder_or_project","signal_type","notes"
"SRC-001","Array Ventures — home","https://www.array.vc/","Array Ventures","official_company_site","1","UNKNOWN","2026-08-22","Array Ventures","fund_overview","Team, categories, portfolio widget (52 active shown, 10 rendered). /portfolio path 404s."
"SRC-002","Array Ventures — AI Analyst job posting","https://www.array.vc/careers/ai-analyst","Array Ventures","official_company_site","1","UNKNOWN","2026-08-22","Array Ventures","role_definition","$250M+ AUM / 4 funds / 80+ portfolio cos / 200-300 inbound per month / 9-10 investments per year / $250K-$2.5M / two sourcing pools / 2-3 intros per week"
"SRC-003","Array Ventures — Insights index","https://www.array.vc/insights","Array Ventures","official_company_site","1","UNKNOWN","2026-08-22","Array Ventures","publication_index","~70 items, 2015-2026, with dates"
"SRC-004","Loop to Graph Engineering for Measuring AI Spend","https://insights.array.vc/p/loop-to-graph-engineering-for-measuring","Shruti Gandhi / Array Ventures","official_publication","1","2026-07-22","2026-08-22","Array Ventures","thesis_agent_economics","Accepted Work Units; cost per AWU; loop steps; Ralph Wiggum failure; goal drift; LoopOps stack; vertical loops"
"SRC-005","Agents broke the security stack","https://insights.array.vc/p/agents-broke-the-security-stack","Shruti Gandhi / Array Ventures","official_publication","1","2026-04-28","2026-08-22","Array Ventures","thesis_security","~100 non-human identities per human; four explicitly-sought categories; Vercel/Context.ai, EchoLeak, Polyfill.io, MGM"
"SRC-006","[Array VC] 15 Themes We're Most Excited to Back","https://insights.array.vc/p/array-vc-15-ai-bets-for-2026","Shruti Gandhi / Array Ventures","official_publication","1","2026-01-09","2026-08-22","Array Ventures","thesis_themes","15 themes verbatim; $250k-$3m at formation; 48-hour reviews; 'we attempt to recreate parts of a product ourselves'"
"SRC-007","How Our 24/7 AI Coworker Replaced Half Our Internal Tools","https://insights.array.vc/p/how-our-247-ai-coworker-replaced","Array Ventures","official_publication","1","2026-02-17","2026-08-22","Array AI Labs","ai_labs","Persistent structured memory; heartbeat pattern; filesystem sandbox with isolated execution; on-demand skill acquisition"
"SRC-008","Array Ventures: What lies ahead!","https://insights.array.vc/p/array-ventures-what-lies-ahead","Shruti Gandhi / Array Ventures","official_publication","1","2025-12-30","2026-08-22","Array Ventures","fund_activity","2025: 9 new investments, 5 follow-ons, 16 portfolio cos raised; Array AI Lab launched; Joyce; 500k lines of code from 41k"
"SRC-009","Exciting News for Array VC companies HappyRobot, Sapiom, & Agency","https://insights.array.vc/p/happyrobot-sapiom-and-agency","Array Ventures","official_publication","1","2026-08-06","2026-08-22","HappyRobot / Sapiom / Agency","portfolio_outcomes","Array wrote HappyRobot's first round; led Sapiom's pre-seed; Sapiom problem found testing agents in Array's own AI lab; Agency (Elias Torres) acquired by Klaviyo"
"SRC-010","[Array VC] Q3 2025 update — AI Experiments, New Investments","https://www.array.vc/insights/array-vc-ai-experiments-market-observations-new-investments-job-opportunities-nov-2025","Array Ventures","official_publication","1","2025-11-20","2026-08-22","Array portfolio","portfolio_and_labs","11 investments named; 300+ deals in <48h; Wokelo + Runable used internally; 'the team codes daily and tests products in developer environments during due diligence'"
"SRC-011","Sapiom raises $15M to help AI agents buy their own tech tools","https://techcrunch.com/2026/02/05/sapiom-raises-15m-to-help-ai-agents-buy-their-own-tech-tools/","TechCrunch","press","2","2026-02-05","2026-08-22","Sapiom","financing","Seed; Ilan Zerbib, 5 years Shopify director of engineering (payments); founded 2025 SF"
"SRC-012","Sapiom Raises $35M in Series A Funding","https://www.finsmes.com/2026/08/sapiom-raises-35m-in-series-a-funding/","FinSMEs","press","2","2026-08","2026-08-22","Sapiom","financing","Series A led by Dragonfly; ~$50M total <1yr from founding; Array Ventures participating"
"SRC-013","Eventual seed round","https://www.crunchbase.com/funding_round/eventual-4cef-seed--58ebb448","Crunchbase","aggregator","3","2024-10-01","2026-08-22","Eventual / Daft","financing","$7.5M seed 2024-10-01; CRV-led (Brittany Walker); YC, Essence VC, Array Ventures"
"SRC-014","Eventual Raises $20M in Series A Funding","https://www.finsmes.com/2025/06/eventual-raises-20m-in-series-a-funding/","FinSMEs","press","2","2025-06","2026-08-22","Eventual / Daft","financing","Series A led by Felicis; M12, Citi Ventures; founders Sammy Sidhu, Jay Chia (ex-Lyft)"
"SRC-015","Eventual (climate fintech) raises $7.5M","https://fortune.com/2025/07/22/eventual-a-climate-fintech-raises-7-5-million-seed-round-from-alleycorp-and-upfront-ventures/","Fortune","press","2","2025-07-22","2026-08-22","Eventual (climate fintech)","entity_collision","NAME + ROUND-SIZE COLLISION with SRC-013. Regression test case for ER-5."
"SRC-016","Born from San Francisco's AI hackathons, Agency lets you see what your AI agents do","https://techcrunch.com/2024/08/28/san-franciscos-ai-hackathons-agency-lets-you-see-what-your-ai-agents-do/","TechCrunch","press","2","2024-08-28","2026-08-22","Agency / AgentOps","entity_collision","Reibman/Silverman/Qiu; hackathon origin summer 2023; $2.6M pre-seed led by 645 Ventures + Afore. ARRAY DID NOT PARTICIPATE. Collision with SRC-009's Agency."
"SRC-017","Flamingo launches from stealth with $2.2M","https://www.businesswire.com/news/home/20251028573978/en/Flamingo-Launches-from-Stealth-to-Transform-the-$380B-MSP-Market-with-AI-Powered-Open-Source-Platform","Business Wire","press_release","2","2025-10-28","2026-08-22","Flamingo","financing","$2.2M pre-seed co-led by Focal VC and Array VC; founder Michael Assraf; OpenFrame; 1,000 MSP waitlist"
"SRC-018","1st time founder completely pivots after YC (HappyRobot)","https://www.pmf.show/1889238/episodes/16484809","A Product Market Fit Show","podcast","2","UNKNOWN","2026-08-22","HappyRobot","company_history","YC S23; founders Pablo Palafox, Javier Palafox, Luis Paarup; $500K seed 2023; Series A $15.6M Dec 2024 (a16z)"
"SRC-019","Multikernel Goes Open Source","https://multikernel.io/2025/09/18/multikernel-goes-open-source/","Multikernel Technologies","official_company_site","1","2025-09-18","2026-08-22","Multikernel Technologies","formation","Company blog announcing the open-source release"
"SRC-020","Linux Kernel Multikernel Project Opens Up","https://linuxiac.com/linux-kernel-multikernel-project-opens-up/","Linuxiac","press","2","UNKNOWN","2026-08-22","Multikernel Technologies","technical_artifact","LKML patch submission by Cong Wang; per-application dedicated kernel instances"
"SRC-021","About — Multikernel Technologies","https://multikernel.io/about.html","Multikernel Technologies","official_company_site","1","UNKNOWN","2026-08-22","Cong Wang","formation","Founder & CEO; 17 years kernel; TC subsystem maintainer since 2017; 1000+ kernel commits; prior Red Hat, Twitter, ByteDance"
"SRC-022","AgentSight: System-Level Observability for AI Agents Using eBPF","https://arxiv.org/abs/2508.02736","arXiv","research_paper","1","2025-08-02","2026-08-22","AgentSight / eunomia-bpf","research_depth","Authors: Yusheng Zheng, Yanpeng Hu, Tong Yu, Andi Quinn. Verified via arXiv API exact title match."
"SRC-023","UCCL-EP: Portable Expert-Parallel Communication","https://arxiv.org/abs/2512.19849","arXiv","research_paper","1","2025-12-22","2026-08-22","UCCL","research_depth","Authors incl. Ziming Mao, Yang Zhou, Scott Shenker, Costin Raiciu, Ion Stoica"
"SRC-024","UCCL-Zip: Lossless Compression Supercharged GPU Communication","https://arxiv.org/abs/2604.17172","arXiv","research_paper","1","2026-04-19","2026-08-22","UCCL","research_depth","Authors incl. Ziming Mao, Ion Stoica, Yang Zhou"
"SRC-025","TriAttention: Efficient Long Reasoning with Trigonometric KV Compression","https://arxiv.org/abs/2604.04921","arXiv","research_paper","1","2026-04-06","2026-08-22","TriAttention","research_depth","Authors: Weian Mao, Xi Lin, Wei Huang, Yuxin Xie, Tianfu Fu, Bohan Zhuang, Song Han, Yukang Chen"
"SRC-026","Devpost robots.txt","https://devpost.com/robots.txt","Devpost","access_policy","1","UNKNOWN","2026-08-22","Devpost","data_access_constraint","Explicitly disallows anthropic-ai, GPTBot, ChatGPT-User, CCBot, Google-Extended, BLEXBot, Omgilibot. Generic UA allowed. => hackathon channel is manual-research-only."
"SRC-027","arXiv robots.txt","https://arxiv.org/robots.txt","arXiv","access_policy","1","UNKNOWN","2026-08-22","arXiv","data_access_constraint","Crawl-delay: 15; /abs /list /pdf allowed; /e-print /src disallowed. Use the official export API."
"SRC-028","GitHub API rate_limit (authenticated, this session)","https://api.github.com/rate_limit","GitHub","api_response","1","2026-08-22","2026-08-22","GitHub API","data_access_constraint","Verified live: core 5,000/hr; search 30/min; code_search 10/min; graphql 5,000 pts/hr"
"SRC-029","multikernel/kernelscript","https://github.com/multikernel/kernelscript","GitHub","primary_artifact","1","2025-07-14","2026-08-22","Cong Wang / Multikernel","build_signal","OCaml eBPF DSL; 502 stars; 524 owner commits; Apache-2.0; org created 2025-03-08"
"SRC-030","vivekchand/clawmetry","https://github.com/vivekchand/clawmetry","GitHub","primary_artifact","1","2026-02-13","2026-08-22","Vivek Chand","build_signal","3,111 owner commits vs 399 stars; MIT; clawmetry.com"
"SRC-031","getagentseal/codeburn","https://github.com/getagentseal/codeburn","GitHub","primary_artifact","1","2026-04-13","2026-08-22","Resham Joshi","build_signal","1,234 top-contributor commits; MIT; org created 2026-04-18; founder bio explicit"
"SRC-032","linnix-os/linnix","https://github.com/linnix-os/linnix","GitHub","primary_artifact","1","2025-11-01","2026-08-22","Parth Shah","build_signal","Rust + eBPF; 172 owner commits; AGPL-3.0; org created 2025-08-06 (before the repo)"
"SRC-033","spinningfactory/kloak","https://github.com/spinningfactory/kloak","GitHub","primary_artifact","1","2026-02-07","2026-08-22","Dhia Ayachi","build_signal","C; 209 top-contributor commits; AGPL-3.0; getkloak.io; org created 2024-01-08"
"SRC-034","headroomlabs-ai/headroom","https://github.com/headroomlabs-ai/headroom","GitHub","primary_artifact","1","2026-01-07","2026-08-22","Headroom Labs","reproduction_target","Claim: 20% fewer tokens for coding agents, 60-95% for JSON, same answers. EXP-1."
"SRC-035","rtk-ai/rtk","https://github.com/rtk-ai/rtk","GitHub","primary_artifact","1","2026-01-22","2026-08-22","rtk-ai","reproduction_target","Claim: 60-90% token reduction on common dev commands. EXP-2. 1,998 open issues."
"SRC-036","rohitg00/agentmemory","https://github.com/rohitg00/agentmemory","GitHub","primary_artifact","1","2026-02-25","2026-08-22","rohitg00","reproduction_target","Meta-claim: '#1 ... based on real-world benchmarks'. EXP-3."
"SRC-037","deeplethe/forkd","https://github.com/deeplethe/forkd","GitHub","primary_artifact","1","2026-05-11","2026-08-22","DeepLethe","reproduction_target","Claim: 100 children in ~100ms; BRANCH live VM ~150ms. EXP-4 (cloud tier, needs KVM)."
"SRC-038","shepherd-agents/shepherd","https://github.com/shepherd-agents/shepherd","GitHub","primary_artifact","1","2026-06-24","2026-08-22","Derek Chong et al.","reproduction_target","Claims: CoW fork ~5x faster than docker commit; ~95% KV-cache reuse on replay. EXP-5 (cloud tier)."
